date,symbol,close,high,low,open,volume,ingest_time,source
2021-02-25,AAPL,117.84370422363281,123.17146037981733,117.4054092554,121.43774971472523,148199500,2026-02-25 07:49:01.320856+00:00,yfinance_bulk
2021-02-25,AMZN,152.85800170898438,158.91299438476562,152.38800048828125,156.83700561523438,90676000,2026-02-25 07:49:01.320856+00:00,yfinance_bulk
2021-02-25,GOOGL,100.04161834716797,103.36897879825909,99.57216580668543,102.02562835554662,41548000,2026-02-25 07:49:01.320856+00:00,yfinance_bulk
2021-02-25,MSFT,219.72955322265625,225.10307807896038,218.66444150450877,222.69458880716616,39542200,2026-02-25 07:49:01.320856+00:00,yfinance_bulk
2021-02-25,NVDA,13.270182609558105,14.334440047309721,13.17918902800684,14.006113004928865,824436000,2026-02-25 07:49:01.320856+00:00,yfinance_bulk
2021-02-25,TSLA,227.4066619873047,245.73666381835938,223.52667236328125,242.0500030517578,117071700,2026-02-25 07:49:01.320856+00:00,yfinance_bulk
2021-02-26,AAPL,118.10670471191406,121.6033452358005,118.04825992472897,119.40211317040608,164560400,2026-02-25 07:49:01.320856+00:00,yfinance_bulk
2021-02-26,AMZN,154.64649963378906,156.1219940185547,151.8350067138672,154.75999450683594,85518000,2026-02-25 07:49:01.320856+00:00,yfinance_bulk
2021-02-26,GOOGL,100.33737182617188,102.0548939056203,99.30021020364278,100.73635761176493,40042000,2026-02-25 07:49:01.320856+00:00,yfinance_bulk
2021-02-26,MSFT,222.98248291015625,225.85155697990797,220.25732229386043,222.16685132625005,37819200,2026-02-25 07:49:01.320856+00:00,yfinance_bulk
2021-02-26,NVDA,13.676040649414062,13.815647436688753,13.323531609545643,13.713933240960111,500932000,2026-02-25 07:49:01.320856+00:00,yfinance_bulk
2021-02-26,TSLA,225.1666717529297,235.56666564941406,219.836669921875,233.3333282470703,123267600,2026-02-25 07:49:01.320856+00:00,yfinance_bulk
2021-03-01,AAPL,124.4668960571289,124.60325484384613,119.5969181572381,120.53195302229754,116307900,2026-02-25 07:49:01.320856+00:00,yfinance_bulk
2021-03-01,AMZN,157.3070068359375,157.47799682617188,154.89950561523438,156.39450073242188,54582000,2026-02-25 07:49:01.320856+00:00,yfinance_bulk
2021-03-01,GOOGL,102.70698547363281,103.03302091003201,100.95819763423486,101.63210667965502,26060000,2026-02-25 07:49:01.320856+00:00,yfinance_bulk
2021-03-01,MSFT,227.35806274414062,227.86662818043706,223.72132352037755,226.36011252225157,25324000,2026-02-25 07:49:01.320856+00:00,yfinance_bulk
2021-03-01,NVDA,13.802931785583496,13.885948361591872,13.515241033932776,13.836088393397688,353184000,2026-02-25 07:49:01.320856+00:00,yfinance_bulk
