Date,Ticker,Close,High,Low,Open,Volume
2021-02-24,AAPL,122.09033203125,122.29487019049711,119.05147088701199,121.69099774824254,111039900
2021-02-24,AMZN,157.97650146484375,158.56149291992188,156.2689971923828,158.33749389648438,60226000
2021-02-24,GOOGL,103.4091567993164,103.63296773706675,100.61626404849291,100.74081884482054,22608000
2021-02-24,MSFT,225.06472778320312,225.68843572381107,219.73916858564397,220.70831859965355,26339700
2021-02-24,NVDA,14.458340644836426,14.466069421564784,13.717424178877225,14.08314643202328,448320000
2021-02-24,TSLA,247.33999633789062,248.3333282470703,231.38999938964844,237.28334045410156,110301000
2021-02-25,AAPL,117.84371185302734,123.17146835413952,117.4054168564186,121.43775757680415,148199500
2021-02-25,AMZN,152.85800170898438,158.91299438476562,152.38800048828125,156.83700561523438,90676000
2021-02-25,GOOGL,100.04161071777344,103.36897091511271,99.57215821309238,102.02562057484711,41548000
2021-02-25,MSFT,219.7295684814453,225.1030937109058,218.66445668933272,222.69460427185766,39542200
2021-02-25,NVDA,13.270181655883789,14.33443901715153,13.179188080871866,14.00611199836621,824436000
2021-02-25,TSLA,227.4066619873047,245.73666381835938,223.52667236328125,242.0500030517578,117071700
2021-02-26,AAPL,118.10669708251953,121.60333738053185,118.04825229910983,119.40210545733144,164560400
2021-02-26,AMZN,154.64649963378906,156.1219940185547,151.8350067138672,154.75999450683594,85518000
2021-02-26,GOOGL,100.33737182617188,102.0548939056203,99.30021020364278,100.73635761176493,40042000
2021-02-26,MSFT,222.98248291015625,225.85155697990797,220.25732229386043,222.16685132625005,37819200
2021-02-26,NVDA,13.676042556762695,13.815649363507847,13.323533467731098,13.71393515359349,500932000
2021-02-26,TSLA,225.1666717529297,235.56666564941406,219.836669921875,233.3333282470703,123267600
2021-03-01,AAPL,124.46688079833984,124.60323956834041,119.59690349547498,120.53193824590555,116307900
2021-03-01,AMZN,157.3070068359375,157.47799682617188,154.89950561523438,156.39450073242188,54582000
2021-03-01,GOOGL,102.70697784423828,103.03301325641854,100.95819013474573,101.63209913010583,26060000
2021-03-01,MSFT,227.35804748535156,227.86661288751642,223.7213085056627,226.36009733043844,25324000
2021-03-01,NVDA,13.802933692932129,13.885950280412095,13.515242901527062,13.836090305328044,353184000
2021-03-01,TSLA,239.47666931152344,239.6666717529297,228.35000610351562,230.0366668701172,81408600
2021-03-02,AAPL,121.86632537841797,125.37270785746594,121.75918527388905,125.07077161615514,102260900
2021-03-02,AMZN,154.72650146484375,158.17599487304688,154.3560028076172,157.17349243164062,51916000
2021-03-02,GOOGL,102.44992065429688,103.95157512845779,102.06235368431534,102.46778343065205,25564000
2021-03-02,MSFT,224.41221618652344,227.7035134807684,224.00920288060502,227.42523297605322,22812500
2021-03-02,NVDA,13.36865520477295,13.881462909178813,13.358433857283094,13.861020214199105,264116000
2021-03-02,TSLA,228.81333923339844,240.3699951171875,228.3333282470703,239.42666625976562,71196600
2021-03-03,AAPL,118.88589477539062,122.44098002866822,118.6716145648539,121.56438254510716,112966300
2021-03-03,AMZN,150.25,155.38900756835938,149.75,154.0590057373047,79774000
2021-03-03,GOOGL,99.81632232666016,103.02110427360444,98.95234399009125,101.82812222319419,33892000
2021-03-03,MSFT,218.35736083984375,224.13391321847823,218.06949005706758,222.7713404645017,34029500
2021-03-03,NVDA,12.768841743469238,13.413777543276217,12.762858052083374,13.388598869860433,377592000
2021-03-03,TSLA,217.73333740234375,233.56666564941406,217.23666381835938,229.3300018310547,90624000
2021-03-04,AAPL,117.006103515625,120.38586986301316,115.53537532437929,118.58397926186606,178155000
2021-03-04,AMZN,148.8784942626953,152.906494140625,147.27149963378906,150.60000610351562,109632000
2021-03-04,GOOGL,100.93387603759766,102.95162763201309,99.51955914782164,99.98801971974596,49216000
2021-03-04,MSFT,217.5609588623047,223.0880319063651,215.19084531714768,217.5705638296597,44727800
2021-03-04,NVDA,12.335559844970703,12.938614575428367,12.049863300020087,12.764852623838904,573344000
2021-03-04,TSLA,207.14666748046875,222.81666564941406,200.0,218.60000610351562,197758500
2021-03-05,AAPL,118.26252746582031,118.76900926850234,114.51264641529035,117.83397451469976,153766600
2021-03-05,AMZN,150.0229949951172,150.4499969482422,144.0500030517578,150.25,107772000
2021-03-05,GOOGL,104.06719207763672,104.52026594581169,100.62867233193391,102.28466284780541,53100000
2021-03-05,MSFT,222.2340087890625,223.8364715609729,217.30187304022164,220.23812306789688,41872800
2021-03-05,NVDA,12.426553726196289,12.514805563806275,11.646497027872458,12.514805563806275,542840000
2021-03-05,TSLA,199.31666564941406,209.27999877929688,179.8300018310547,208.68666076660156,268189500
2021-03-08,AAPL,113.33413696289062,117.85347628547363,113.18803612592406,117.78529688568887,154376600
2021-03-08,AMZN,147.59750366210938,153.22950744628906,147.5655059814453,150.75,83700000
2021-03-08,GOOGL,99.62227630615234,104.89443749241916,99.50764106068317,103.4215726006688,36868000
2021-03-08,MSFT,218.19427490234375,223.9324376851917,217.9447946567308,222.01331832648629,35267400
2021-03-08,NVDA,11.560739517211914,12.436276664198935,11.534063968796627,12.41508648345778,543112000
2021-03-08,TSLA,187.6666717529297,206.7100067138672,186.26333618164062,200.18333435058594,155361000
2021-03-09,AAPL,117.94112396240234,118.88590088596752,115.70093853482196,115.93469539878758,129525800
2021-03-09,AMZN,153.1425018310547,154.54800415039062,150.25750732421875,150.89950561523438,80600000
2021-03-09,GOOGL,101.25296020507812,102.42212772357182,101.01674600755987,101.71894467377746,33920000
2021-03-09,MSFT,224.3258056640625,225.86110663126547,222.30113465139974,223.4622080210828,33080500
2021-03-09,NVDA,12.489448547363281,12.585710586701868,12.029582238014875,12.100407665853615,521824000
2021-03-09,TSLA,224.52667236328125,226.02999877929688,198.40333557128906,202.72666931152344,202569900
2021-03-10,AAPL,116.86001586914062,118.99306155445927,116.34379186849473,118.52554774575847,111943300
2021-03-10,AMZN,152.8820037841797,155.822998046875,151.50250244140625,154.92250061035156,60250000
2021-03-10,GOOGL,101.04602813720703,102.29707365898807,100.20934752586386,102.29707365898807,27100000
2021-03-10,MSFT,223.02081298828125,227.41559717164208,222.65617569987222,227.41559717164208,29746800
2021-03-10,NVDA,12.437580108642578,12.94807054401496,12.426856734806337,12.808914029530401,384376000
2021-03-10,TSLA,222.68666076660156,239.28334045410156,218.35333251953125,233.43333435058594,181817100
2021-03-11,AAPL,118.78849029541016,120.00598467048323,118.10669641776761,119.35340946888309,103026500
2021-03-11,AMZN,155.67950439453125,156.58900451660156,154.14649963378906,155.20050048828125,55528000
2021-03-11,GOOGL,104.23939514160156,104.77187091897011,102.05142854718905,102.13926584834769,27702000
2021-03-11,MSFT,227.54034423828125,229.49783913564707,224.83437947593785,225.4581019231332,29907600
2021-03-11,NVDA,12.96153450012207,13.014155316080448,12.703171840009764,12.918141567568973,299916000
2021-03-11,TSLA,233.1999969482422,234.1666717529297,225.72666931152344,233.13333129882812,108761700
2021-03-12,AAPL,117.8826675415039,118.01902630934984,116.06130081484937,117.26905308619719,88105100
2021-03-12,AMZN,154.47450256347656,154.94900512695312,152.27499389648438,153.75,48438000
2021-03-12,GOOGL,101.73135375976562,103.10150219473942,100.85894755075073,103.04195455710017,33818000
2021-03-12,MSFT,226.21617126464844,226.28334746335574,223.79807702037834,224.54653232236623,22653700
2021-03-12,NVDA,12.824374198913574,12.857043763325269,12.559028764148305,12.617134944070317,243964000
2021-03-12,TSLA,231.2433319091797,231.6266632080078,222.04666137695312,223.3333282470703,100751400
2021-03-15,AAPL,120.76571655273438,120.77545858975141,117.28855243734995,118.25281346511821,92403800
2021-03-15,AMZN,154.08399963378906,154.11199951171875,151.60450744628906,153.72850036621094,58272000
2021-03-15,GOOGL,101.95167541503906,101.97896555456512,100.62917132551493,101.48222292330844,26168000
2021-03-15,MSFT,225.314208984375,225.6788463527636,222.43552990775498,225.45815172323736,26034900
2021-03-15,NVDA,13.158798217773438,13.174260154911902,12.735841507996014,12.83310149724649,221988000
2021-03-15,TSLA,235.97999572753906,237.72666931152344,228.01333618164062,231.3633270263672,88006800
2021-03-16,AAPL,122.30462646484375,123.91172068145192,121.47673169598399,122.43124321692929,115227900
2021-03-16,AMZN,154.59300231933594,156.44549560546875,153.79299926757812,155.24850463867188,50776000
2021-03-16,GOOGL,103.41313934326172,104.89146380814894,102.19235989786293,102.52484679250944,31900000
2021-03-16,MSFT,228.09690856933594,230.35186474160002,226.39848405501235,226.72473079014074,28092200
2021-03-16,NVDA,13.258553504943848,13.479258807224893,13.084482313956556,13.32364243314881,272128000
2021-03-16,TSLA,225.6266632080078,235.97332763671875,223.6666717529297,234.4499969482422,96587100
2021-03-17,AAPL,121.51566314697266,122.58705655635659,119.15858872913417,120.82412733336126,111932600
2021-03-17,AMZN,156.7864990234375,158.65249633789062,153.51100158691406,153.66099548339844,62372000
2021-03-17,GOOGL,103.33026885986328,104.16297408675445,101.43955571786044,102.64792444093051,26382000
2021-03-17,MSFT,227.4540252685547,228.90296978894895,223.7981051474322,226.6000177196356,29562100
2021-03-17,NVDA,13.308426856994629,13.420150815607716,12.957541896819428,13.007668319701601,243864000
2021-03-17,TSLA,233.93666076660156,234.57666015625,217.00332641601562,218.9566650390625,121117500
2021-03-18,AAPL,117.39567565917969,119.97676520351848,117.1911374972353,119.68456358302885,121229700
2021-03-18,AMZN,151.39950561523438,155.8314971923828,151.25,155.0500030517578,72992000
2021-03-18,GOOGL,100.30908966064453,102.66181170828624,100.20189786741744,101.64102114164612,31700000
2021-03-18,MSFT,221.3896026611328,224.719275803559,221.01537498492127,223.15518889547872,34833000
2021-03-18,NVDA,12.691201210021973,13.151566040742917,12.685714900401814,13.104183238028991,293896000
2021-03-18,TSLA,217.72000122070312,229.7433319091797,217.3333282470703,228.09666442871094,99674400
2021-03-19,AAPL,116.86973571777344,118.27229182875169,116.5677994448256,116.78207967633583,185549500
2021-03-19,AMZN,153.7480010986328,153.864501953125,150.8314971923828,151.4615020751953,92508000
2021-03-19,GOOGL,100.58798217773438,101.08820045745158,99.39549239049998,100.72544755239356,46072000
2021-03-19,MSFT,221.03456115722656,223.06882283713475,220.07500155097284,221.67746433641042,46430700
2021-03-19,NVDA,12.814146041870117,12.889710027684677,12.58147023108672,12.718631755835021,299208000
2021-03-19,TSLA,218.2899932861328,219.07666015625,208.2066650390625,215.53334045410156,128682000
2021-03-22,AAPL,120.18131256103516,120.64883370339138,117.13270910784668,117.20088850037816,111912300
2021-03-22,AMZN,155.5435028076172,156.32899475097656,153.00250244140625,153.3925018310547,58044000
2021-03-22,GOOGL,100.77307891845703,101.6489606264983,99.944833798889,100.62122640768891,33536000
2021-03-22,MSFT,226.4464569091797,227.31964494665482,220.8330278477673,220.95777527099935,30127000
2021-03-22,NVDA,13.153810501098633,13.36154823506086,12.874998085903743,12.880983842945088,297804000
2021-03-22,TSLA,223.3333282470703,233.2066650390625,222.9166717529297,228.19667053222656,118536600
2021-03-23,AAPL,119.35340881347656,121.00919818208511,118.9638091293934,120.12286614601692,95467100
2021-03-23,AMZN,156.875,159.10000610351562,156.04249572753906,156.35000610351562,76346000
2021-03-23,GOOGL,101.30109405517578,102.43155255458386,100.6395958801365,101.23261124865263,28510000
2021-03-23,MSFT,227.97215270996094,231.30182541849308,227.48278262536803,227.88579586710034,31638400
2021-03-23,NVDA,13.038596153259277,13.311672080567098,12.989217459153739,13.221644080605948,222048000
2021-03-23,TSLA,220.72000122070312,225.93333435058594,219.1699981689453,225.2566680908203,91475700
2021-03-24,AAPL,116.9671401977539,119.70407317138026,116.94766355336753,119.62615173183985,88530500
2021-03-24,AMZN,154.35350036621094,158.0155029296875,154.25750732421875,157.552001953125,59180000
2021-03-24,GOOGL,100.8644027709961,102.6047475271792,100.6892203526668,101.81868694086641,25218000
2021-03-24,MSFT,225.93792724609375,228.37520237530592,225.80358947742405,228.2312742809165,25620100
2021-03-24,NVDA,12.611896514892578,13.126877093413306,12.605662461359328,13.118896401350066,245840000
2021-03-24,TSLA,210.08999633789062,222.67333984375,210.0366668701172,222.6366729736328,101385600
2021-03-25,AAPL,117.4541244506836,118.49630686413842,115.9054750318424,116.43143354135354,98844700
2021-03-25,AMZN,152.31300354003906,155.48899841308594,151.85699462890625,153.64950561523438,71270000
2021-03-25,GOOGL,100.86092376708984,101.51497849194996,99.05605651294476,100.69170066123667,35616000
2021-03-25,MSFT,222.94412231445312,227.3581032886887,222.20527180420694,225.7844257889711,34061900
2021-03-25,NVDA,12.504414558410645,12.683473589194353,12.241812721834071,12.468753062140545,295144000
2021-03-25,TSLA,213.4633331298828,215.1666717529297,203.1666717529297,204.3333282470703,117674700
2021-03-26,AAPL,118.0580062866211,118.32098926109825,115.82755546141085,117.22036947257719,94071200
